번호,인정기관명,인증기업명(국문),현상태,사업자등록번호,메인사업장 지역코드,메인사업장 주소,종업원수(전체),전화번호,E-Mail,Fax,담당자,대표자,우편번호,인증표준,인증번호,최초인증일(기관 최초),최초인증일(인증서 최초),인증유효 시작일자,인증유효 만료일자,인증범위 입력,산업분류코드1,산업분류코드2,산업분류코드3
263,KAB,울산광역시 남구청,인증완료,610-83-02604,울산,"울산 남구 돋질로 233 (달동, 울산광역시 남구청)",5,052-226-3162,florisy@korea.kr,--,이시영 주무관,서동욱,44701,ISO 45001:2018,OH240219,2023-05-15,,2026-05-14,2029-05-14,"공공행정서비스(환경관리, 건축물관리, 조경관리, 도로유지보수 등)의 안전보건경영시스템",36,,
264,KAB,주식회사 디온아이티,인증완료,401-86-02073,서울,"서울 강서구 공항대로 247 1128호,1129호 (마곡동, 퀸즈파크나인)",1,00-1600-8461,jo.kim@toit.co.kr,0504-345-1671,김종오 대표이사,김종오,7803,ISO 9001:2015,Q260453,2026-04-27,,2026-04-27,2029-04-26,"정보통신장비의 설치, 유지보수 및 판매/ 콜센터의 설치, 운영 및 유지보수/ 소프트웨어 개발",29,33,35
265,KAB,세명엔지니어링(주),,--,경기,경기 용인시 기흥구 언동로 210-6 (상하동),,031-895-2391,wanki.park@engsm.kr,031-282-1096,박완기 과장,"김석현, 김삼동",16986,ISO 9001:2015/ISO 14001:2015/ISO 45001:2018,,2026-04-27,,2026-04-27,2029-04-26,수배전반의 생산,2841,,
266,KAB,정안건설(주),인증완료,515-81-10090,경북,경북 고령군 다산면 상곡4길 58 (상곡리),1,053-633-4588,jd4588@naver.com,--,유종철 이사,김지태,40106,ISO 45001:2018,OH240126,2023-04-07,,2026-03-23,2029-04-06,"토목건축공사, 조경공사, 전기공사, 소방시설공사의 시공",28,,
267,KAB,유아이 주식회사,심사보류,626-86-02783,경남,경남 사천시 삼상로 624 (이홀동),1,055-832-8612,jhlee@uicorporation.co.kr,--,이정희 이사,배기수,52549,ISO 9001:2015,Q240122,,2023-03-27,,2026-03-26,철구조물의 생산,17,,
268,KAB,주식회사 고엘,인증취소,624-88-01860,경북,경북 구미시 1공단로5길 36-8 (공단동),1,054-462-0411,goeleng@daum.net,054-462-0825,황창수 이사,성낙연,39372,KS Q ISO 45001:2018,OH230028,2023-04-10,2023-04-10,2023-09-27,2026-04-09,기계의 제조 (유리 세정기 및 검사기 등),18,,
269,KAB,엠스푸드 주식회사,인증취소,503-81-92783,경북,경북 고령군 쌍림면 영서로 3380 (송림리),1,054-954-9300,ms@m-sfood.co.kr,0303-3445-5000,한진영,전해명,40164,FSSC 22000 (Version 5.1),23-F-0979,2023-02-23,,2023-02-23,2026-02-22,냉동피자 및 도우의 제조,CⅢ,,
270,KAB,(주)에스제이인터내셔널,,--,강원,강원 춘천시 강원대학길 1,,070-8860-6479,sjsj6479@gmail.com,--,한금자 이사,오용환,24341,ISO 9001:2015/ISO 14001:2015,,2023-02-23,,2023-02-23,2026-02-22,"기초화장품, 화장품 원료의 개발 및 제조",1211,,
271,KAB,영농조합법인 풍기인삼나라,,512-81-16964,경북,경북 영주시 풍기읍 소백로 2156 (산법리),,054-634-3489,365ceoo@naver.com,--,김영식 대표,김영식,36041,FSSC 22000 (Version 5.1),,2023-02-23,,2023-02-23,2026-02-22,홍삼 제품의 제조,CⅣ,,
272,KAB,(주)대도F&D,인증완료,227-81-19549,강원,강원특별자치도 속초시 농공단지길 115 (대포동),2,033-636-8881,daedofnd@daum.net / wmj5913@naver.com,--,우민정,최진아,24899,FSSC 22000 (Version 6),25-FSSC-0488,2021-09-16,2024-08-02,2025-09-04,2028-09-03,"동결건조 식품(육류, 해산물, 야채, 요거트, 혼합제품, 즉석조리식품(국류, 양념소스류), 파우더제품(요거트, 버섯))의 제조",CⅢ,CⅣ,
273,KAB,주식회사 제우스,,--,제주,제주특별자치도 제주시 첨단로 175 (영평동),,064-724-0001,production@jeuscorp.com,--,이재기 팀장,김한상,63309,ISO 22000:2018,,2021-09-16,2024-08-02,2025-09-04,2028-09-03,"건조식품(감귤, 사과), 곡물가공품(그래놀라)의 제조",CⅣ,,
274,KAB,주식회사 씨에스상사,,225-81-19640,강원,강원 삼척시 도계읍 강원남부로 2048-134,1,00-1577-9365,cscoltd@naver.com,--,이창하 대표,이창하,25945,ISO 9001:2015,,2021-09-16,2024-08-02,2025-09-04,2028-09-03,"이불 및 침구류에 대한 설계, 개발, 생산 및 서비스",1351,,
275,KAB,주식회사 왕도방식,인증완료,132-86-04817,충남,충청남도 천안시 서북구 입장면 위례산길 258,1,02-556-5154,gunni81@naver.com,02-565-1865,김영균 대표,김영균,31059,ISO9001:2015/ISO14001:2015/ISO 45001:2018,E230100,2022-12-20,,2025-12-08,2028-12-19,"Q: 1. 전기공사 2. 전기방식 설계, 제조 및 설치 3. 외부전원용 정류기의 설계 및 제조 EOH: 1. 전기공사 2. 전기방식 설계, 제조 및 설치",19,28,
276,KAB,인피니티에너지 주식회사,,105-87-94371,서울,"서울 금천구 가산디지털1로 226 (가산동, 에이스하이엔드타워5차)",1,070-5121-8934,jh.kyoung@infinityene.co.kr,--,경준현 팀장,김성일,8502,ISO 9001:2015/ISO 14001:2015,,2022-12-20,,2025-12-08,2028-12-19,"1. 연료전지의 제조 및 시공 2. 태양광 접속함의 설계/개발 및 제조 3. 스마트 벤치의 개발, 제조 및 시공 4. BIPV용 개발 모듈 모니터링 시스템의 설계/개발 및 제조 5. 태양광 발전설비의 시공",19,28,
277,KAB,(주)광일엔지니어링,인증완료,416-81-31589,전남,전라남도 광양시 남산3길 35 (광영동),1,061-794-3545,kwang2175@hanmail.net,061-791-3545,신은옥 과장,최수경,57722,ISO 45001:2018,OH260416,2023-02-03,,2026-01-19,2029-02-02,"전기통신, 기계설치, 배관의 제조 및 시공",17,18,"19,28"
278,KAB,"FINE MS VINA CO., LTD",인증완료,230-08-51647,,,1,098-118-4081,sy4982@finemtec.com,--,정선용 이사,,,ISO 27001:2013,25-G-0135,2022-09-14,,2025-06-27,2028-09-13,"산업용 부품 프레스 가공, 사출 성형 및 조립",2769,,
279,KAB,(주)동연특수,인증완료,505-81-41499,경북,경상북도 포항시 남구 철강로 468(장흥동),1,054-293-7251,Dongyeon1004@nate.com,054-293-7252,박기진 과장,김동명,37872,ISO 14001:2015/ISO 45001:2018,E230004,2022-10-11,,2025-08-18,2028-10-10,"철강제품에 대한 취급, 보관 및 운송",31,,
280,KAB,전원산업,인증완료,301-33-71482,충북,충북 청주시 청원구 북이면 팔결신대로 471 (내둔리),1,043-211-0148,junwon0148@hanmail.net,--,김태성 대표,김태성,28138,ISO 9001:2015/ISO 14001:2015,E230025,2020-10-26,,2026-09-21,2029-10-25,변압기의 제조,19,,
281,KAB,(주)대영통신,인증완료,514-81-35521,대구,대구 달성군 논공읍 논공로91길 54-19 (본리리),1,053-641-2900,daeyoung2900@hanmail.net,053-617-2288,오현옥 과장,김명대,42983,ISO 45001:2018,OH230046,2022-11-21,,2025-11-20,2028-11-20,1. 정보통신공사 2. 전기공사 3. 기계설비공사,28,,
282,KAB,주식회사 주상엔지니어링,인증완료,293-81-01779,전남,전남 고흥군 풍양면 고흥로 892 (고옥리),1,061-817-0200,kkk9756@hanmail.net,061-817-0300,김민강 대표,김민강,59548,ISO 9001:2015,Q230043,2022-11-26,,2025-11-17,2028-11-25,"1. 태양광발전 접속함의 설계 및 제조 2. 태양광발전 장치의 설치 및 유지보수 3. 전기공사에 대한 설계, 시공 및 종합감리",19,28,34
283,KAB,주식회사 케이비팩토리,인증완료,504-86-17948,대구,대구 중구 재마루길 10 (남산동),1,053-252-7900,kb2501240@gmail.com,--,이재길 실장,박준우,41964,ISO 45001:2018,SKOR/OH&SMS/00005/9507,2022-10-11,,2025-10-11,2028-10-10,"인쇄물(디지털 인쇄, 옵셋 인쇄 및 마스터인쇄)의 디자인 및 제조",09,,
284,KAB,다예 (구.다좋은푸드),인증완료,134-87-05293,경기,경기 시흥시 군자로335번길 31 (거모동),1,070-8667-0615,dayemall@naver.com,--,신정 팀장,김정자,15004,FSSC 22000 (Version 6),25-FSSC-0262,2022-01-20,,2025-01-15,2028-01-19,다(Tea)류의 생산,CⅣ,,
285,KAB,(주)신안플랜트,인증완료,311-81-38098,충남,충남 당진시 송산면 애미시길 12 (무수리),1,041-355-1075,ah1002@shinanplant.co.kr,041-355-1076,남아현 이사,김덕수,31712,ISO9001:2015/ISO14001:2015/ISO 45001:2018,E240248,2024-03-18,,2025-03-17,2028-03-16,"기계배관(발전, 제철, 화학 설비), 가스배관, 플랜트설비에 대한 제작, 시공, 유지보수",17,28,
286,KAB,황도,심사진행,617-05-52392,경남,경남 김해시 생림면 봉림로 105 (봉림리),1,055-342-4237,huangdo@daum.net,055-342-4234,김명관 과장,김진도,50800,ISO 9001:2015,KSQA-211944,,,,,"플라스틱 완구(슬라이드 제품, 슬라이드 & 스윙 제품, 플레이하우스, 베이비룸, 놀이완구 등)의 개발, 제조 및 판매",23,29,
287,KAB,주식회사 오파스넷,인증완료,204-81-88475,서울,"서울 강남구 테헤란로 512, 10층(대치동, 신안빌딩)",2,02-2193-8600,jhkang@opasnet.co.kr,02-553-6513,강정훈 프로,장수현,6179,ISO 9001:2015,Q260476,2014-04-11,2026-06-29,2026-06-29,2028-09-01,1. 통신장비의 설치 및 시공 2. 소프트웨어의 개발,28,33,
288,KAB,(주)대한에스엠피,,--,전북,전북 순창군 순창읍 순화로 28 (순화리),,00-1899-8863,c1552711@hanmail.net,--,설기환 대리,설봉환,56039,ISO 9001:2015,,2014-04-11,2026-06-29,2026-06-29,2028-09-01,태양광 발전시스템 설계 및 설치공사,2841,,
289,KAB,화이버트론 주식회사,,269-87-00497,경기,"경기도 용인시 기흥구 동백중앙로16번길 16-4(에이스 동백타워, 1동 1405호)",1,031-777-5612,,--,,배일호,17015,ISO 9001:2015,,2014-04-11,2026-06-29,2026-06-29,2028-09-01,"감시제어장비 시스템(Fiber Optic Sensor Assembly, Optical Sensing & Monitoring Unit)의 제조",1921,,
290,KAB,한라식품,인증취소,511-02-82428,경북,경북 상주시 함창읍 영동길 9-15 (오동리),1,054-541-5112,hallafood@hallafood.com,054-541-5114,박현숙 부장,이재한,37112,FSSC 22000 (Version 5.1),20-F-0414,2020-10-20,,2023-10-20,2026-10-19,참치소스의 제조,CⅣ,,
291,KAB,아이엔지텍 주식회사,인증완료,503-81-64123,대구,"대구 중구 동덕로 115, 1907호 (삼덕동2가, 진석타워)",1,053-429-8678,sonbuk@nate.com,053-429-7589,오정훈 과장,손병욱,41940,ISO 45001:2018,OH230016,2022-10-07,,2025-09-29,2028-10-06,전기 공사,28,,
292,KAB,쏭푸드시스템 주식회사,,468-87-01676,경기,경기 수원시 권선구 수성로 8 (구운동),1,031-296-6289,ssongfoods@naver.com,--,박지희 대리,송혜령,16426,ISO 22000:2018,,2022-10-07,,2025-09-29,2028-10-06,건조과일칩 및 초콜릿 가공품의 생산 및 판매서비스,CⅣ,,
293,KAB,(주)이엠알,인증취소,124-81-46470,경기,경기 화성시 남양읍 현대기아로 733-6 (북양리),1,031-352-5555,emr8740@naver.com,031-356-5542,김나영 차장,김일두,18255,ISO 14001:2015,SKOR/EMS/00031/11100,2024-12-17,,2024-12-17,2027-12-16,폐기물 재활용 및 중간처리에 대한 생산 및 부가서비스,24,39,
294,KAB,은성솔루션 주식회사,인증완료,621-87-01942,경기,경기 화성시 효행로 556-34 (안녕동),1,070-4176-2884,es62187@naver.com,031-236-9986,남현수 대표,남현수,18325,ISO9001:2015/ISO14001:2015/ISO 45001:2018,E260501,2022-09-19,,2025-09-08,2028-09-18,태양광 발전 장치의 설치 및 유지보수,28,,
295,KAB,(주)씨앤제이어페럴,,212-86-02605,서울,"서울 강동구 양재대로124길 32 (길동, 동서울오네뜨)",1,02-471-9988,taeyoung66@naver.com,02-471-2664,이대우 전무,안주현,5303,ISO 9001:2015/ISO 14001:2015,,2022-09-19,,2025-09-08,2028-09-18,"화학물질보호복, 일반 의류의 설계, 개발, 생산 및 판매",1351,,
296,KAB,H2C,,126-29-16197,세종,세종특별자치시 연서면 부국길 133 (국촌리),1,044-863-3572,wonilri@daum.net,--,손원일 팀장,이시영,30047,ISO 9001:2015/ISO 14001:2015,,2022-09-19,,2025-09-08,2028-09-18,농업용 기계의 제조,1811,,
297,KAB,(주)공영홈쇼핑 - 품질혁신팀,인증완료,105-88-15349,서울,"서울 마포구 상암산로 34, 18층",1,02-6350-8569,joseph@gongyoung.kr,02-6350-8612,채문석 대리,이일용,3909,ISO 9001:2015,Q240249,2020-09-25,,2026-08-18,2029-09-24,방송판매상품에 대한 품질보증,35,,
298,KAB,지에이이앤씨(주),인증완료,129-81-44254,경기,"경기 하남시 미사강변한강로 165, 2층 에이씨02-0020호 (망월동, 현대클러스터 한강미사3차)",1,02-2240-7956,smshin1021@gainnodus.co.kr,02-2240-7990,신상목 차장,이해훈,12902,ISO 45001:2018,OH230011,2021-09-03,,2024-09-02,2027-09-02,"토목건축공사, 수중·준설공사, 지반조성·포장공사, 산업·환경설비공사와 설계·사업관리, 주택건설업과 부동산 개발업",28,32,
299,KAB,오아이씨씨 주식회사,,804-88-02636,경기,"경기도 광주시 오포읍 양촌길 225-17, 1층",1,070-8870-3299,cacamera@naver.com,0504-132-2495,조아라 팀장,유경아,12797,ISO22716:2007,,2021-09-03,,2024-09-02,2027-09-02,기초화장품 및 마스크팩의 제조,A-11,,
300,KAB,지에이이노더스 주식회사,인증완료,112-81-50189,서울,"서울특별시 송파구 올림픽로 293-19 (신천동, 현대타워빌딩 2층)",1,02-2240-7949,ekpark.1017@gainnodus.co.kr,02-2240-7990,박은규 대리,이규항,5510,ISO9001:2015/ISO14001:2015/ISO 45001:2018,E230010,2022-05-30,,2025-05-26,2028-05-29,"지반조성·포장공사, 수중· 준설공사, 철근콘크리트공사,구조물해체· 비계공사, 상하수도설비공사, 철강구조물공사, 금속창호·지붕건축물조립공사, 도장·습식·방수·석공 공사와 건설장비 임대업, 부동산 개발업",28,,
301,KAB,주식회사 피앤더블유인터네셔널,인증완료,512-86-00943,경기,"경기 성남시 중원구 갈마치로 302 (상대원동, 성남우림라이온스밸리5차)",1,-11397,pw_ty@scenting.co.kr,02-2179-9294,여태영 대리,임주완,13201,ISO 9001:2015/ISO 14001:2015,C240157,2022-05-09,,2025-04-28,2028-05-08,기초화장품과 방향용 제품의 개발 및 생산,12,A-11,C-05
302,KAB,삼일프론테크,인증완료,871-85-02504,경기,경기도 안성시 원곡면 원암로 142-31,2,031-526-7479,ayhan@superflon.com,070-7550-2809,한아영 책임,이성중,17554,ISO9001:2015/ISO14001:2015/ISO 45001:2018,OH240116,2020-02-28,,2026-02-19,2029-02-27,"1. 플랜트 배관의 설계 및 개발, 제조 2. 불소수지의 연구개발, 분체 도장, 코팅 및 가공 3. 불소수지 라이닝의 연구개발 및 가공",14,17,
303,KAB,(주)비주코리아,,143-88-01022,인천,"인천 서구 가정로37번길 4, 1층 (가좌동)",1,032-833-8751,chengxu712@gmail.com,032-834-8752,만설진 대리,김애화,22837,ISO22716:2007,,2020-02-28,,2026-02-19,2029-02-27,두발용 제품의 제조,A-08,,
304,KAB,(주)비주코리아,,143-88-01022,인천,"인천광역시 서구 가정로 37번길 4, 1층 (가정동)",1,032-833-8751,chengxu712@gmail.com,032-834-8752,만설진 대리,김애화,22837,ISO 9001:2015,,2020-02-28,,2026-02-19,2029-02-27,두발용 제품의 제조,1211,,
305,KAB,"TZ HITEC CO., LTD.",인증완료,070-08-35607,Lo,"Lot CN-11, Street D6N5, Chau Son Industrial Park, Chau Son Wards,",1,8481-234-3538,gorak@tz-corporation.com,--,손정환 부장,박성진,,ISO 9001:2015 /ISO 14001:2015,Q230030,2020-10-12,,2023-10-11,2026-10-11,"1. LED 조명의 설계, 개발 및 제조 2. 자동차 전장부품, 의료기기 전기부품의 생산 3. SMPS 제조 4. 원자재 무역",18,19,29
306,KAB,주식회사 썬로이,,461-81-00897,서울,"서울특별시 강남구 영동대로 405, 5층(대치동)",1,02-6203-8090,sooslh@sunroi.co.kr,050-7354-6182,임현빈 대리,최성돈,6182,ISO22716:2007,,2020-10-12,,2023-10-11,2026-10-11,"화장품(기초용 제품, 기능성 제품, 헤어케어용 제품)의 제조",A-08,A-11,
307,KAB,미젤라화장품,인증완료,130-02-55173,인천,인천광역시 남동구 남동동로64번길 77 (고잔동),1,032-817-7561,nrd1@mizella.com,032-817-7564,조기정 연구소장,김미경,21692,ISO22716:2007,KSGA-222085,2022-01-24,,2025-01-24,2028-01-23,"두발용, 피부용 화장품의 제조",A-08,A-11,
308,KAB,(주)뉴스젤리,인증완료,105-88-00472,서울,"서울 성동구 성수일로 77, 1702호(성수동1가, 서울숲 IT 밸리)",1,070-8747-9523,songjelly@newsjel.ly,02-6052-9523,이소영 매니저,정병준,4790,ISO 9001:2015,Q240109,2019-01-28,,2025-01-20,2028-01-27,시스템 소프트웨어의 개발 및 서비스 데이터베이스 및 온라인 정보 서비스,33,,
309,KAB,주식회사 헤라몬드,인증완료,101-86-84802,서울,서울 종로구 종로 118-2 (종로3가),1,02-741-5758,culture00@naver.com,02-2285-5200,김문화 총괄이사,조근수,3192,ISO 9001:2015/ISO 14001:2015,E230084,2021-12-27,,2024-12-16,2027-12-26,귀금속 제품의 디자인 및 제조,23,,
310,KAB,주식회사 태산엔지니어링,인증완료,374-81-01442,전남,전남 함평군 대동면 동함평산단길 93 (백호리),1,062-531-6647,yks7911@naver.com,062-531-6648,유광선 부사장,유우성,57141,ISO 45001:2018,Q230042,2021-12-20,,2024-10-21,2027-12-19,1. 태양광발전 접속함의 설계 및 제조 2. 태양광발전 장치의 설치 및 유지보수,19,28,
311,KAB,주식회사 천운건설,인증완료,571-88-00970,전남,전남 영암군 덕진면 향월유수동길 191,1,070-7713-0675,kim8454004@hanmail.net,0507-890-4785,김숙현 부장,박은,58408,ISO 9001:2015,Q230080,2021-12-27,,2024-12-09,2027-12-26,"1. 전기공사에 대한 설계, 시공 및 종합감리 2. 정보통신공사에 대한 설계 및 종합감리 3. 신재생에너지(전기분야)의 설계 및 시공 4. 태양광 발전장치의 설계, 제조, 설치 및 유지보수 5. 태양광발전 접속함의 설계 및 제조",19,28,34
312,KAB,주식회사 다일테크,인증완료,698-86-01135,전남,전남 담양군 담양읍 내다길 5-46,1,070-7713-0675,kim8454004@hanmail.net,0507-890-4785,김숙현 부장,박상미,57333,ISO 9001:2015,Q230035,2021-12-27,,2024-12-09,2027-12-26,"1. 전기공사에 대한 설계, 시공 및 종합감리 2. 정보통신공사에 대한 설계 및 종합감리 3. 신재생에너지(전기분야)의 설계 및 시공 4. 태양광 발전장치의 설계, 제조, 설치 및 유지보수 5. 태양광발전 접속함의 설계 및 제조 6. 금속창호, 지붕건축물조립공사의 시공",19,28,34
313,KAB,(주)매커스,인증취소,220-87-40140,서울,서울 강남구 봉은사로44길 73 (역삼동),1,02-3490-9500,yaijun@makus.co.kr,02-508-6203,이경준 부장,"신동철, 성종률",6146,KS Q ISO 9001:2015 / KS I ISO 14001:2015,E230013,2021-08-09,2021-08-09,2023-09-27,2024-08-08,"전자제품(반도체)에 대한 유통, 창고관리 및 부가서비스",29,31,
314,KAB,주식회사 두성토건,인증완료,332-87-00650,경남,"경상남도 양산시 진등길51, 202호",1,055-364-8070,pavilion8070@naver.com,055-364-8082,김성혜 과장/이태희 대표이사,이태희,50520,ISO9001:2015/ISO14001:2015/ISO 45001:2018,E240150,2021-05-24,,2024-05-07,2027-05-23,"토공사, 보링·그라우팅공사, 상하수도설비 공사, 철근콘크리트 공사",28,,
315,KAB,주식회사 메이크월,인증취소,191-81-01565,경기,"경기 부천시 길주로411번길 20 (춘의동, 춘의 디아크원)",1,032-326-0119,makewall@hanmail.net,032-327-0119,이진희 과장,박차성,14488,ISO 9001:2015/ISO 14001:2015,E230073,2020-12-21,,2023-12-18,2026-12-20,"알루미늄창호 및 판넬의 설계, 생산 및 시공",17,28,
316,KAB,주식회사 코스모바이오,,268-81-01152,대전,"대전광역시 유성구 테크노4로 17, 비즈센터 D101, D102, D103",1,042-383-9089,ceo@cosmobio.co.kr,042-383-9030,강수용 책임연구원,금윤현,34013,ISO22716:2007,,2020-12-21,,2023-12-18,2026-12-20,"화장품(기초화장용 제폼, 기능성 화장품)의 제조",A-11,,
317,KAB,㈜아이톡시코스메틱,,162-85-01376,충북,충북 음성군 맹동면 맹동산단로 37-17 (쌍정리),1,02-6207-7112,sdpark@itoxi.co.kr,02-6207-7115,박순도 대리,오원석,27733,ISO22716:2007,,2020-12-21,,2023-12-18,2026-12-20,마스크 팩(원료 포함)의 제조,A-11,,
318,KAB,로렌스 주식회사,인증완료,130-81-04927,서울,서울 마포구 독막로 75-1 (상수동),1,02-334-6193,erolens@daum.net,02-332-9843,문정원 과장,옥광용,4049,ISO 9001:2015,Q240129,2021-02-22,,2024-02-19,2027-02-21,시계의 설계 및 제조,19,,
319,KAB,에이피시스템(주),인증완료,204-87-00511,경기,경기도 화성시 동탄산단8길 15-5 (방교동 826-5),2,031-379-2888,he.kim@apsystems.co.kr,031-379-2600,김흥언 과장,김영주,18487,ISO 9001:2015,KSQA-181056,2018-07-23,,2024-07-23,2027-07-22,"반도체장비, FPD장비, 레이저응용장비에 대한 설계, 개발, 생산 및 부가서비스",18,,
320,KAB,농업회사법인 (주)엘에이치농산,,--,인천,인천 강화군 길상면 까치골길 110 (길직리),,032-471-6800,lhnongsan@naver.com,032-714-3267,하인선 대표이사,하인선,23048,ISO 22000:2018,,2018-07-23,,2024-07-23,2027-07-22,절임식품의 제조,CⅡ,,
321,KAB,(주)제이피에스코스메틱,,129-81-30309,인천,"인천 남동구 앵고개로449번길 80 (고잔동, 제이피에스코스메틱)",1,070-4482-4709,jps202@jpscos.co.kr,032-818-0552,엄영철 연구소장,"선일규, 선형훈",21696,ISO22716:2007,,2018-07-23,,2024-07-23,2027-07-22,"화장품(스킨케어제품, 헤어케어제품)의 제조",A-08,A-11,
322,KAB,(주)더마밀,인증취소,851-86-00019,경기,경기 군포시 당정로60번길 5,1,031-454-0951,kmj942@dermameal.com,031-454-0953,김민주 선임연구원,김홍섭,15847,ISO22716:2007,KSGA-160184,2016-08-22,,2022-08-22,2025-08-21,"화장품(기초화장품 제품, 기능성화장품, 두발용 제품, 목욕용 제품, 인체 세정용 제품, 면도용 제품, 영?유아용 제품, 체취 방지용 제품, 방향용 제품, 메이크업 베이스제품)의 제조",A-01,A-03,"A-08,A-10,A-11,B-07,C-05"
323,KAB,(주)가인화장품,인증완료,126-81-71257,인천,"인천광역시 남동구 남동서로84번길 60 (고잔동, 남동공단 121블럭 3롯트)",1,032-822-3721,totojh@nate.com,032-022-3733,문경원 사원,송홍종,21697,ISO22716:2007,KSGA-191443,2019-10-14,,2025-10-13,2028-10-13,"헤어케어 제품(샴푸, 헤어트리트먼트, 헤어로션, 퍼머넌트웨이브, 염모제)과 스킨케어(크림, 클렌징) 제품의 제조",A-08,A-11,B-06
324,KAB,한국바이오켐제약(주),,--,세종,세종특별자치시 전의면 산단길 204 (신정리),1,044-865-5030,,--,이동혁 대리,송원호,30003,ISO 14001:2015,,2019-10-14,,2025-10-13,2028-10-13,,,,
325,KAB,(주)세바바이오텍,,221-81-28958,강원,강원 춘천시 동내면 거두단지1길 50-1,1,033-258-6090,theaimaster@naver.com,0303-0957-6090,안재희 선임연구원,임혜원,24398,ISO22716:2007,,2019-10-14,,2025-10-13,2028-10-13,"화장품(기초화장용 제품, 기능성 화장품, 두발용 제품, 바디용 제품, 마스크팩)의 제조",A-03,A-08,A-11
326,KAB,주식회사 오라즈인터내셔널,인증완료,737-86-03160,경기,"경기 오산시 수목원로88번길 35, 제지식산업센터동 제3층 제에프333호(가수동, 현대테라타워씨엠씨)",1,070-4355-0415,innomaxco1@naver.com,031-353-7381,이석재 대표,이석재,18126,ISO22716:2007,C240275,2021-12-13,,2024-12-09,2027-12-12,"기초화장품, 마스크팩의 제조",A-11,,
327,KAB,주식회사 양일테크,인증완료,775-88-00553,광주,광주 서구 유덕로 50-1 (유촌동),1,070-7713-0676,kim8454004@hanmail.net,0507-890-4785,김숙현 부장,박정훈,61901,ISO 9001:2015,OH240165,2020-12-28,,2024-04-15,2027-04-14,"1. 전기공사에 대한 설계, 시공 및 종합감리 2. 정보통신공사에 대한 설계 및 종합감리 3. 신재생에너지(전기분야)의 설계 및 시공 4. 태양광 발전장치의 설계, 제조, 설치 및 유지보수 5. 태양광발전 접속함의 설계 및 제조",19,28,34
328,KAB,(주)아이디알시스템,,704-88-00075,대구,"대구광역시 달서구 달서대로91길 35, 나동 204호(호림동, 모다지식산업센터)",2,053-584-2233,cpg7890@idealsys.co.kr,053-583-6800,최필규 실장,최보규,42714,ISO 9001:2015,,2020-12-28,,2024-04-15,2027-04-14,"1. 곡물가공설비(집진기, 곡물선별기, 곡물건조기, 자동계측기)의 제조 2. 스마트 팩토리 시스템응용소프트웨어 개발 및 공급업",1821,1941,3321
329,KAB,주식회사 센솔루션코리아,인증취소,598-88-01085,경기,"경기 하남시 조정대로 150, 5층 569호 (덕풍동, 아이테코)",1,031-790-0585,sales@sensolution.co.kr,031-790-0508,이명덕 대표,이명덕,12930,ISO 9001:2015,Q230062,2021-11-22,2021-11-22,2023-11-13,2024-11-21,1. 인공지능 수면 분석 기기의 개발 및 제조 2. 열화상 모듈과 안면인식 열화상 카메라 개발 및 제조,19,,
330,KAB,한창종합물류(주),인증취소,506-81-36795,경북,경상북도 포항시 남구 오천읍 송덕로212번길 27,1,054-291-2375,hc6210@hanmail.net,054-291-2373,이상목 부장,김태정,37876,ISO9001:2015/ISO14001:2015/ISO 45001:2018,QEO240216,2021-09-13,,2024-08-19,2027-09-12,"철강제품의 취급, 보관 및 운송",31,,
331,KAB,주식회사 유니자르,인증완료,111-85-12778,경기,"경기 군포시 엘에스로91번길 59, 2층",1,070-8098-6992,pilly@naver.com,--,심필보 대표이사,심필보,15809,ISO22716:2007,C230023,2021-09-27,,2024-09-02,2027-09-26,기초용 화장품의 제조,A-11,,
332,KAB,삼학양조(주),,613-81-28157,경남,경남 하동군 청암면 청학로 1657-9 (상이리),,055-884-8024,isobi777@naver.com,--,,김진호,52310,ISO 22000:2018,,2021-09-27,,2024-09-02,2027-09-26,주류의 제조,CⅣ,,
333,KAB,주식회사 글로벌케이,,152-81-01503,광주,"광주 동구 동계천로 150 (동명동, I-PLEX 광주)",1,02-6423-5898,alfl2661@kmallglobal.com,--,조미리 과장,김영은,61436,ISO 9001:2015/ISO 14001:2015,,2021-09-27,,2024-09-02,2027-09-26,전자상거래 플랫폼 개발 및 운영,2911,3321,
334,KAB,에프앤에스 주식회사,,613-81-57536,경남,경남 진주시 정촌면 삼일로95번길 50-35 (예하리),1,-7030,fnsfood@hanmail.net,--,백승흥,김재성,52845,ISO 22000:2018,,2021-09-27,,2024-09-02,2027-09-26,도시락 및 케이터링의 개발 및 제조,E,,
335,KAB,태신프린팅비나 동나이지점,인증완료,--,No,"No.55, Road No 1-7, Long Thanh IZ, Dong Nai Prov. Viet Nam",,-3913,,096-172-5872,송민재 지점장,송민재,,ISO 22000:2018,GF-230157,2020-09-08,,2023-09-08,2026-09-07,"식품용 종이용기(컵, 캡), 종이빨대의 개발 및 제조",I,,
336,KAB,합천생약가공영농조합법인,,611-81-04940,경남,경남 합천군 합천읍 내곡길 16 (내곡리),1,055-933-0770,dkrakx3@naver.com,--,백승화 이사,백문기,50227,ISO 22000:2018,,2020-09-08,,2023-09-08,2026-09-07,전통차의 개발 및 제조,CⅣ,,
